item_code,item_name_original,item_name_en
1117,SOS TIRAM ADABI,Oyster Sauce ADABI
112,TERUNG PANJANG,Long Eggplant
1125,SERBUK CILI KIJANG,Chili Powder KIJANG
1127,AYAM BELANDA IMPORT,Imported Turkey
1128,LADA BENGGALA HIJAU (CAPSICUM),Bell Pepper Green (CAPSICUM)
1129,LADA BENGGALA MERAH (CAPSICUM),Bell Pepper Red (CAPSICUM)
113,TIMUN,Cucumber
1130,LADA BENGGALA KUNING (CAPSICUM),Bell Pepper Yellow (CAPSICUM)
1131,UBI KENTANG IMPORT (CHINA),Potatoes Imported (CHINA)
1132,LIMAU NIPIS,Lime
1135,KICAP MANIS ADABI,Sweet Soy Sauce ADABI
1136,KICAP MASIN ADABI,Salty Soy Sauce ADABI
1137,SOS CILI THAI LIFE,Life Thai Chili Sauce
1138,SOS TIRAM MAGGI,Oyster Sauce MAGGI
1139,SOS TOMATO LIFE,Life Tomato Sauce
114,TOMATO,Tomato
1140,MARJERIN PLANTA,Margarine PLANTA
1141,MARJERIN DAISY,Margarine DAISY
1142,SARDIN CAP ADABI (SOS TOMATO DENGAN CILI),Adabi Sardines (Tomato Sauce with Chili)
1144,MENTEGA KACANG HALUS LADY'S CHOICE,Butter Beans Fine LADY'S CHOICE
1145,NESTLE CERELAC BERAS - TIN,NESTLE CERELAC Rice - Tin
1151,SANTAN KELAPA JENAMA AYAM BRAND,Ayam Brand Coconut Milk
1153,PERENCAH TOM YAM ADABI,Seasoning TOM YAM ADABI
1157,NASI PUTIH KOSONG,Plain White Rice
1158,NASI AYAM,Chicken Rice
1159,NASI LEMAK (BERBUNGKUS),Nasi Lemak (Wrapped)
1160,NASI LEMAK (TIDAK BERBUNGKUS),Nasi Lemak (Unwrapped)
1161,NASI + SAYUR + IKAN,Rice + Vegetables + Fish
1162,NASI + SAYUR + AYAM,Rice + Vegetables + Chicken
1163,NASI + SAYUR + DAGING,Rice + Vegetables + Meat
1164,NASI + SAYUR + SOTONG,Rice + Vegetables + Squid
1165,NASI + SAYUR + UDANG,Rice + Vegetables + Prawns
1167,NASI GORENG KAMPUNG,Village-Style Fried Rice
1168,NASI GORENG PAPRIK,NASI Fried PAPRIK
1169,NASI GORENG CINA,Chinese Fried Rice
1170,NASI GORENG PATAYA,NASI Fried PATAYA
1172,NASI GORENG CILI PADI,NASI Fried Chili PADI
1173,NASI GORENG DAGING MERAH,NASI Fried Meat Red
1174,NASI GORENG USA,NASI Fried USA
1175,NASI GORENG AYAM,Chicken Fried Rice
118,TELUR AYAM GRED A (BERAT 65.0 GM HINGGA 69.9 GM SEBIJI),Eggs Chicken Grade A (Weight 65.0 GM to 69.9 GM each)
1183,BIHUN GORENG,Fried Rice Vermicelli
1184,BIHUN HAILAM,Rice Vermicelli HAILAM
1186,BIHUN TOMYAM,Rice Vermicelli TOMYAM
1187,BIHUN BANDUNG,Rice Vermicelli BANDUNG
1188,BIHUN LADNA,Rice Vermicelli LADNA
1189,BIHUN KUNGFU,Rice Vermicelli KUNGFU
119,TELUR AYAM GRED B (BERAT 60.0 GM HINGGA 64.9 GM),Eggs Chicken Grade B (Weight 60.0 GM to 64.9 GM)
1198,AYAM GORENG,Chicken Fried
1199,AYAM MASAK MERAH,Chicken in Red Sauce
12,DAGING KAMBING BEBIRI IMPORT TANPA TULANG (MUTTON) (TIDAK TERMASUK PAHA - NEW ZEALAND),Mutton Imported Boneless (MUTTON) (Excluding Leg - NEW ZEALAND)
120,TELUR AYAM GRED C (BERAT 55.0 GM HINGGA 59.9 GM SEBIJI),Eggs Chicken Grade C (Weight 55.0 GM to 59.9 GM each)
1200,AYAM MASAK KICAP,Chicken in Soy Sauce
1201,AYAM MASAK HALIA,Chicken with Ginger
1202,DAGING MASAK MERAH,Meat in Red Sauce
1203,DAGING MASAK KICAP,Meat in Soy Sauce
1204,DAGING MASAK HALIA,Meat with Ginger
1205,DAGING MASAK PAPRIK,Meat with Paprik Sauce
1206,SOTONG GORENG,Squid Fried
1207,SOTONG MASAK MERAH,Squid in Red Sauce
1208,SOTONG MASAK KICAP,Squid in Soy Sauce
1209,SOTONG MASAK HALIA,Squid with Ginger
1210,UDANG GORENG,Prawns Fried
1211,UDANG MASAK MERAH,Prawns in Red Sauce
1212,UDANG MASAK KICAP,Prawns in Soy Sauce
1213,UDANG MASAK HALIA,Prawns with Ginger
1214,SAYUR CAMPUR,Vegetables CAMPUR
1215,SAYUR KAILAN IKAN MASIN,Vegetables KAILAN Fish Salty
1216,SAYUR KANGKUNG GORENG BELACAN,Vegetables Water Spinach Fried BELACAN
1232,TELUR MATA KERBAU,Sunny-Side-Up Egg
1233,TELUR DADAR,Omelette
1234,TELUR BISTIK,Eggs BISTIK
1235,TELUR SETENGAH MASAK,Half-Boiled Eggs
1236,TELUR REBUS,Boiled Eggs
1237,TELUR MASIN,Salted Eggs
1238,SUP AYAM,Chicken Soup
1239,SUP DAGING,Meat Soup
124,TELUR PUYUH,Quail Eggs
1240,SUP EKOR,Oxtail Soup
1241,SUP CAMPUR,Mixed Soup
1242,TOM YAM CAMPUR,Mixed Tom Yam
1243,TOM YAM AYAM,Chicken Tom Yam
1244,TOM YAM DAGING,Meat Tom Yam
1245,TOM YAM UDANG,Prawn Tom Yam
1246,TOM YAM SOTONG,Squid Tom Yam
1247,MAGGI GORENG,MAGGI Fried
1248,MAGGI SUP,MAGGI Soup
125,TELUR ITIK,Duck Eggs
1250,ROTI TELUR,Egg Bread
1252,KUIH LAPIS,Kuih Lapis
1253,KUIH SERI MUKA,Kuih Seri Muka
1254,PAU KACANG MERAH,Steamed Bun Red Beans
1255,PAU AYAM,Steamed Bun Chicken
1256,PAU KAYA,Steamed Bun KAYA
1264,AYAM SOS LEMON,Chicken with Lemon Sauce
1265,SOTONG GORENG ASAM,Squid Fried ASAM
1266,UDANG BUTTER,Butter Prawns
1277,SUP IKAN,Fish Soup
1278,SUP SAYUR MASIN,Soup Vegetables Salty
1279,PAU DAGING,Steamed Bun Meat
1281,NASI BRIYANI AYAM,NASI BRIYANI Chicken
1282,NASI BRIYANI KAMBING,NASI BRIYANI Goat
1284,NASI BRIYANI BUKHARA,NASI BRIYANI BUKHARA
1285,AYAM MASAK KARI,Chicken Curry
1289,SUP TULANG,Bone Soup
129,BAWANG BESAR KUNING/HOLLAND,Onions Yellow/HOLLAND
1290,SUP KAMBING,Mutton Soup
1291,ROTI PISANG,Banana Bread
1292,ROTI BAWANG,Onion Bread
1293,ROTI BOOM,Roti Boom
1294,RAWA TOSAI,RAWA TOSAI
1295,ROTI TISU,Roti Tisu
1296,CAPATI,CAPATI
1297,Ayam Tandoori,Chicken Tandoori
1298,ROTI BAKAR,Toast
1299,MURTABAK AYAM,Chicken Murtabak
1300,MURTABAK DAGING,Meat Murtabak
1301,MURTABAK KAMBING,Mutton Murtabak
1307,AIR SUAM,Warm Water
1309,Kopi Panas,Coffee Hot
131,BAWANG KECIL MERAH ROSE IMPORT (INDIA),Shallots ROSE Imported (INDIA)
1311,TEH 'O' LIMAU PANAS,Hot 'O' Tea with Lime
1312,Teh Panas,Tea Hot
1314,TEH HALIA PANAS,Hot Ginger Tea
1315,NESCAFE PANAS,Hot Nescafe
1317,NESLO PANAS,NESLO Hot
1318,HORLICKS PANAS,HORLICKS Hot
1319,MILO PANAS,Hot Milo
132,BAWANG KECIL MERAH IMPORT (THAILAND),Shallots Imported (THAILAND)
1320,BARLI PANAS,Barley Hot
1321,MILO 'O' PANAS,MILO 'O' Hot
1322,AIR KOSONG,Plain Water
1339,JUS EPAL,Apple Juice
1340,JUS MANGGA,Mango Juice
1341,JUS TEMBIKAI,Watermelon Juice
1343,JUS BELIMBING,Starfruit Juice
1344,JUS LAICI,Lychee Juice
1355,100 PLUS (ORIGINAL),100 PLUS (ORIGINAL)
1358,ROTI SARDIN,Sardine Bread
1359,KOPI 'O' PANAS,Coffee 'O' Hot
1360,TEH 'O' PANAS,Tea 'O' Hot
1364,AYAM TUA HIDUP,Live Old Chicken
1367,DAGING PAHA KAMBING BEBIRI IMPORT BERTULANG  (MUTTON) (AUSTRALIA),Leg Meat Goat Mutton Imported Bone-in (MUTTON) (AUSTRALIA)
1368,DAGING PAHA KAMBING BEBIRI IMPORT BERTULANG (MUTTON) (NEW ZEALAND),"Mutton Leg, Bone-in (MUTTON) (NEW ZEALAND)"
1369,DAGING KAMBING TEMPATAN BERTULANG,Goat Meat Local Bone-in
1370,DAGING LEMBU IMPORT (TOPSIDE),Beef Imported (TOPSIDE)
1371,DAGING LEMBU IMPORT (BLADE),Beef Imported (BLADE)
1372,DAGING LEMBU IMPORT (CHUCKTENDER),Beef Imported (CHUCKTENDER)
1373,DAGING LEMBU IMPORT (KNUCKLE),Beef Imported (KNUCKLE)
1374,DAGING KERBAU TEMPATAN,Buffalo Meat Local
1375,DAGING KERBAU IMPORT (INDIA) * (SILVERSIDE),Buffalo Meat Imported (INDIA) * (SILVERSIDE)
1376,DAGING KERBAU IMPORT (INDIA) * (RUMP),Buffalo Meat Imported (INDIA) * (RUMP)
1377,DAGING KERBAU IMPORT (INDIA) * (BLADE),Buffalo Meat Imported (INDIA) * (BLADE)
1378,DAGING KERBAU IMPORT (INDIA) * (CHUCK),Buffalo Meat Imported (INDIA) * (CHUCK)
1379,DAGING BABI (PERUT / BELLY),Pork (PERUT / BELLY)
1380,DAGING BABI (DAGING & LEMAK / LEAN & FAT),Pork (Meat & LEMAK / LEAN & FAT)
1381,DAGING BABI (ISI DAGING / PURE LEAN),Pork (ISI Meat / PURE LEAN)
1383,DAGING BABI (RUSUK DENGAN DAGING/ RIBS WITH MEAT),Pork (Ribs with Meat/ RIBS WITH MEAT)
1384,BABI HIDUP (±100KG / SEEKOR),Live Pig (±100 kg each)
1391,UDANG PUTIH BESAR/BANANA PRAWN (BERAT ANTARA 41 EKOR HINGGA 60 EKOR SEKILOGRAM),White Prawns Large/BANANA PRAWN (Weight between 41 fish to 60 fish per kilogram)
1396,KUBIS BULAT IMPORT (INDONESIA),Round Cabbage Imported (INDONESIA)
1399,BAWANG PERAI (LEEK) TEMPATAN,Leeks (LEEK) Local
14,DAGING KERBAU IMPORT (INDIA) * (TOP SIDE),Buffalo Meat Imported (INDIA) * (TOP SIDE)
1400,BAWANG PERAI (LEEK) IMPORT,Leeks (LEEK) Imported
1402,HORLICKS (PAKET),HORLICKS (Packet)
1412,KUBIS PANJANG CHINA - BESAR,Chinese Cabbage CHINA - Large
1419,KACANG DAL BIASA (INDIA),Lentils Regular (INDIA)
1420,KACANG DAL MALAVI (INDIA),Lentils MALAVI (INDIA)
1422,KACANG DAL (AUSTRALIA),Lentils (AUSTRALIA)
1431,DAGING LEMBU TEMPATAN (BAHAGIAN 1 DAGING PAHA (KECUALI BATANG PINANG - TENDERLOIN),Local Beef (Section 1 Leg Meat (excluding Tenderloin - TENDERLOIN)
1432,DAGING LEMBU TEMPATAN (BAHAGIAN 2 DAGING PEJAL (KECUALI BATANG PINANG - TENDERLOIN),Local Beef (Section 2 Lean Meat (excluding Tenderloin - TENDERLOIN)
1436,IKAN KERISI (ANTARA 5 HINGGA 10 EKOR SEKILOGRAM),Fish KERISI (between 5 to 10 fish per kilogram)
1437,IKAN SIAKAP (ANTARA 2 HINGGA 4 EKOR SEKILOGRAM),Sea Bass (between 2 to 4 fish per kilogram)
1438,IKAN TENGGIRI BATANG (KEPINGAN),Spanish Mackerel Batang (Slices)
1440,BAWANG BESAR IMPORT (INDIA),Onions Imported (INDIA)
1441,BAWANG BESAR IMPORT (CHINA),Onions Imported (CHINA)
1442,BAWANG KECIL MERAH BIASA IMPORT (INDIA),Shallots Regular Imported (INDIA)
1443,BAWANG KECIL MERAH IMPORT (CHINA),Shallots Imported (CHINA)
1444,BAWANG KECIL MERAH IMPORT (MYANMAR),Shallots Imported (MYANMAR)
1445,BERAS CAP FAIZA EMAS (SST5%),Rice Brand FAIZA EMAS (SST5%)
1458,KUBIS BULAT IMPORT (BEIJING),Round Cabbage Imported (BEIJING)
1463,KRIMER SEJAT CARNATION,Evaporated Creamer CARNATION
1468,PANADOL FOR CHILDREN SUSPENSION 1-6,PANADOL FOR CHILDREN SUSPENSION 1-6
1469,NESCAFE ''O'' PANAS,NESCAFE ''O'' Hot
1474,BERAS BASMATHI - FAIZA (KASHMIR),Basmati Rice - FAIZA (KASHMIR)
1475,IKAN BAWAL PUTIH (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),White Pomfret (between 2 to 5 fish per kilogram)
1476,IKAN KEMBUNG (ANTARA 8 HINGGA 12 EKOR SEKILOGRAM),Indian Mackerel (between 8 to 12 fish per kilogram)
1477,IKAN MABUNG (ANTARA 6 HINGGA 10 EKOR SEKILOGRAM),Fish MABUNG (between 6 to 10 fish per kilogram)
1479,BROKOLI,Broccoli
148,IKAN BILIS GRED B (KOPEK),Anchovies Grade B (KOPEK)
1481,KUBIS BUNGA (CAULIFLOWER),Cauliflower (CAULIFLOWER)
1482,KUBIS PANJANG (TEMPATAN),Chinese Cabbage (Local)
1483,MEE KUNING BASAH (PELBAGAI JENAMA),"Yellow Noodles, Wet (Various Brands)"
1484,KUETIAU BASAH (PELBAGAI JENAMA),"Flat Rice Noodles, Wet (Various Brands)"
1485,EPAL HIJAU GRANNY SMITH (SAIZ M),Green Apple GRANNY SMITH (Size M)
1486,EPAL MERAH RED DELICIOUS (SAIZ M),Red Apple RED DELICIOUS (Size M)
1487,OREN VALENCIA (SAIZ M),OREN VALENCIA (Size M)
1489,ASAM JAWA (BERBIJI) PELBAGAI JENAMA,Tamarind (With Seeds) Various Brands
1491,BERAS PULUT THAILAND (SUSU) PELBAGAI JENAMA,Glutinous Rice THAILAND (Milk) Various Brands
1492,BERAS PULUT THAILAND (BIASA) PELBAGAI JENAMA,Glutinous Rice THAILAND (Regular) Various Brands
1493,BIHUN KERING TEMPATAN (CAP JASMINE),Rice Vermicelli Dried Local (Brand JASMINE)
1494,ROTI GARDENIA BREAKTHRU - ROTI GANDUM PENUH,Bread GARDENIA BREAKTHRU - Bread GANDUM Full
1498,TEPUNG JAGUNG (PELBAGAI JENAMA),Corn Flour (Various Brands)
1505,DUTCH LADY UHT COKLAT (KOTAK),DUTCH LADY UHT Chocolate (Box)
1506,DUTCH LADY UHT FULL CREAM (KOTAK),DUTCH LADY UHT FULL CREAM (Box)
1507,COCA COLA (TIN),COCA COLA (Tin)
1512,MAMEX LANGKAH 1 - RUMUSAN BAYI (KOTAK),MAMEX Stage 1 - Infant Formula (Box)
1513,SUSTAGEN KID 3+ (VANILLA) - KOTAK,SUSTAGEN KID 3+ (VANILLA) - Box
1514,SUSTAGEN JUNIOR 1+ (VANILLA ) - KOTAK,SUSTAGEN JUNIOR 1+ (VANILLA ) - Box
1515,HEINZ FARLEY RUSKS (ORIGINAL),HEINZ FARLEY RUSKS (ORIGINAL)
1517,HEINZ APPLE PUREE,HEINZ APPLE PUREE
152,KACANG HIJAU (IMPORT),Mung Beans (Imported)
1522,DRYPERS WEE WEE DRY,DRYPERS WEE WEE DRY
1524,BERUS GIGI COLGATE (ZIG ZAG - SOFT),Toothbrush COLGATE (ZIG ZAG - SOFT)
1525,BERUS GIGI ORAL B (COMPLETE EASY CLEAN - SOFT),Toothbrush ORAL B (COMPLETE EASY CLEAN - SOFT)
1538,SABUN PENCUCI AXION PASTE (LEMON),Soap Cleaner AXION PASTE (LEMON)
1539,SABUN PENCUCI KUAT HARIMAU (LEMON),Soap Cleaner KUAT HARIMAU (LEMON)
154,SERBUK KUNYIT (TIDAK BERBUNGKUS),Turmeric Powder (Unwrapped)
1540,SABUN PENCUCI GLO (LEMON),Soap Cleaner GLO (LEMON)
1541,SABUN PENCUCI SUNLIGHT (LEMON),Soap Cleaner SUNLIGHT (LEMON)
1543,KIUB SUP TOMYAM (MAGGI),Tom Yam Soup Cube (Maggi)
1544,SERBUK NASI GORENG CINA ADABI,Powder NASI Fried CINA ADABI
1545,PERENCAH NASI GORENG IKAN BILIS SERI AJI,Seasoning NASI Fried Anchovies SERI AJI
1547,PEPSI COLA (TIN),PEPSI COLA (Tin)
155,SERBUK CILI  (TIDAK BERBUNGKUS),Chili Powder (Unwrapped)
1550,PAHA AYAM (CHICKEN DRUMSTICK),Chicken Thigh (Chicken Drumstick)
1551,DADA AYAM (CHICKEN KEEL) (1KG),DADA Chicken (CHICKEN KEEL) (1KG)
1552,THIGH AYAM,THIGH Chicken
1553,WHOLE LEG AYAM,WHOLE LEG Chicken
1554,IKAN MERAH (KEPINGAN),Red Snapper (Slices)
1555,UDANG PUTIH/VANNAMEI (TERNAK) (ANTARA 41 HINGGA 60 EKOR SEKILOGRAM),White Prawns/VANNAMEI (TERNAK) (between 41 to 60 fish per kilogram)
1556,BAYAM HIJAU,Green Spinach
1557,BAYAM MERAH,Red Spinach
1558,SAWI HIJAU,Green Mustard Greens
1559,KANGKUNG,Water Spinach
1560,KAILAN,KAILAN
1561,TAUGE KACANG HIJAU,Bean Sprouts Mung Beans
1562,UDANG KERING,Dried Prawns
1563,SOTONG KERING (SAIZ SERDAHANA),Dried Squid (Size SERDAHANA)
1564,BAWANG PUTIH IMPORT (CHINA),Garlic Imported (CHINA)
1566,SERBUK KARI IKAN (TIDAK BERBUNGKUS),Curry Powder Fish (Unwrapped)
1567,SERBUK KARI DAGING (TIDAK BERBUNGKUS),Curry Powder Meat (Unwrapped)
1568,SERBUK KARI IKAN ADABI,Curry Powder Fish ADABI
1569,SERBUK KARI IKAN ALAGAPPAS,Curry Powder Fish ALAGAPPAS
1570,SERBUK KARI AYAM DAN DAGING ADABI,Adabi Chicken and Meat Curry Powder
1571,SERBUK KARI DAGING ALAGAPPAS,Curry Powder Meat ALAGAPPAS
1572,SERBUK KARI DAGING BABAS,Curry Powder Meat BABAS
1573,SERBUK KURMA AYAM & DAGING ADABI,Powder Korma Chicken & Meat ADABI
1575,SERBUK KURMA BABAS,Powder Korma BABAS
1576,SERBUK KARI KURMA ALAGAPPAS,Curry Powder Korma ALAGAPPAS
1577,SERBUK PERENCAH SUP ADABI,Powder Seasoning Soup ADABI
1578,SERBUK REMPAH SUP MAK SITI,Spice Powder Soup MAK SITI
1579,SERBUK SUP FAIZA,Powder Soup FAIZA
1581,BERAS CAP RAMBUTAN (SST5%),Rice Brand RAMBUTAN (SST5%)
1582,BERAS CAP JASMINE (SST5%),Jasmine Brand Rice (SST5%)
1583,BERAS SUPER CAP JATI TWR  5% (IMPORT),Super Rice Brand JATI TWR 5% (Imported)
1585,BIHUN KERING IMPORT (CAP BINTANG),Rice Vermicelli Dried Imported (Brand BINTANG)
1586,ROTI SANDWICH MASSIMO DENGAN GERMA GANDUM,Massimo Sandwich Bread with Wheat Germ
1587,GULA HALUS CASTOR (PELBAGAI JENAMA),Fine Sugar CASTOR (Various Brands)
1588,GULA MERAH LEMBUT (PELBAGAI JENAMA),Brown Sugar LEMBUT (Various Brands)
1589,GULA PUTIH BERTAPIS KASAR (PELBAGAI JENAMA),White Coarse-Granulated Sugar (Various Brands)
1590,GULA PUTIH BERTAPIS HALUS (PELBAGAI JENAMA),White Fine-Granulated Sugar (Various Brands)
1591,TEPUNG BERAS (PELBAGAI JENAMA),Rice Flour (Various Brands)
1593,TEPUNG GANDUM GP (BERBUNGKUS) PELBAGAI JENAMA,Wheat Flour GP (Packaged) Various Brands
1594,TEPUNG PULUT (PELBAGAI JENAMA),Glutinous Rice Flour (Various Brands)
1595,MINYAK JAGUNG CAP DAISY,Daisy Corn Oil
1596,MINYAK JAGUNG CAP MAZOLA,Mazola Corn Oil
1597,MINYAK JAGUNG CAP VECORN,Vecorn Corn Oil
1598,MINYAK MASAK SEBATIAN CAP HELANG,Blended Cooking Oil Brand HELANG
1599,MINYAK MASAK SEBATIAN CAP NEPTUNE,Blended Cooking Oil Brand NEPTUNE
16,BETIK BIASA,BETIK Regular
160,UBI KENTANG RUSSET,Potatoes RUSSET
1600,MINYAK MASAK SEBATIAN CAP PISAU,Blended Cooking Oil Brand PISAU
1601,MINYAK MASAK TULEN CAP BURUH,Pure Cooking Oil Brand BURUH
1602,MINYAK MASAK TULEN CAP VESAWIT,Pure Cooking Oil Brand VESAWIT
1603,MINYAK SAPI CAP WINDMILL GHEEBLEND,Ghee Brand WINDMILL GHEEBLEND
1604,ASAM JAWA (TIDAK BERBIJI) ADABI,Adabi Tamarind (Seedless)
1605,GARAM HALUS BIASA (PELBAGAI JENAMA),Fine Salt Regular (Various Brands)
1606,MENTEGA KACANG HALUS LADY'S CHOICE,Butter Beans Fine LADY'S CHOICE
1607,LEPAAN FARMCOWS,LEPAAN FARMCOWS
1608,LEPAAN BUTTERCUP,LEPAAN BUTTERCUP
1609,MENTEGA SCS (SALTED),Butter SCS (SALTED)
1610,SANTAN KELAPA JENAMA M&S,M&S Coconut Milk
1611,SANTAN KELAPA JENAMA KARA,Kara Coconut Milk
1612,SANTAN KELAPA JENAMA HARMUNI,Harmuni Coconut Milk
1613,ESEN STAR BRAND 'PELBAGAI PERISA',ESEN STAR BRAND 'Assorted Flavours'
1615,MENTEGA ANCHOR (SALTED),Butter ANCHOR (SALTED)
1616,MAURIPAN YIS SEGERA,MAURIPAN Instant Yeast
1618,SUSU ISIAN PEKAT MANIS CAP F & N,F&N Sweetened Condensed Milk
1619,SUSU TEPUNG SEGERA DUTCHLADY (BIASA ),Milk Powder Instant DUTCHLADY (Regular )
1623,S-26 SMA RUMUSAN BAYI LANGKAH 1 - (KOTAK),S-26 SMA Infant Formula Stage 1 - (Box)
1624,S-26 GOLD SMA RUMUSAN BAYI LANGKAH 1 - (KOTAK),S-26 Gold SMA Infant Formula Stage 1 (Box)
1628,NESTLE CERELAC GANDUM DAN MADU - KOTAK,Nestle Cerelac Wheat and Honey - Box
1629,NESTLE CERELAC BERAS MERAH & SUSU - TIN,NESTLE CERELAC Rice Red & Milk - Tin
1630,BERUS GIGI COLGATE (TWISTER - SOFT),Toothbrush COLGATE (TWISTER - SOFT)
1635,NESTLE COFFEE-MATE,NESTLE COFFEE-MATE
1636,MILO (PAKET),MILO (Packet)
1637,MILO (PAKET),MILO (Packet)
1638,MILO 3 IN 1 (PAKET) - ORIGINAL,MILO 3 IN 1 (Packet) - ORIGINAL
1645,SERBUK KOPI CAP KAPAL API (KASAR) (BERBUNGKUS),Coffee Powder Brand KAPAL API (Coarse) (Packaged)
1646,SERBUK KOPI HANG TUAH ROBUSTA,Coffee Powder HANG TUAH ROBUSTA
1647,TEH LIPTON (SERBUK),Tea LIPTON (Powder)
1650,TEH LIPTON (UNCANG),Tea LIPTON (UNCANG)
1651,YEO'S SOYA (KOTAK),Yeo's Soya Drink (Box)
1652,PAPERMATE LIQUID PAPER (PEN),PAPERMATE LIQUID PAPER (PEN)
1653,UHU GLUE (GAM PELBAGAI KEGUNAAN),UHU GLUE (GAM Various KEGUNAAN)
1654,MAJALAH CLEO,Magazine CLEO
1657,MAJALAH MINGGUAN WANITA,Magazine MINGGUAN WANITA
1658,COLGATE TOOTHBRUSH EXTRA CLEAN MEDIUM,COLGATE TOOTHBRUSH EXTRA CLEAN MEDIUM
1659,DARLIE TRAVEL KIT ADULT,DARLIE TRAVEL KIT ADULT
1669,KOTEX SOFT AND SMOOTH OVERNIGHT WING 8 PADS (28CM),KOTEX SOFT AND SMOOTH OVERNIGHT WING 8 PADS (28CM)
1670,KOTEX SOFT & SMOOTH MAXI WING 10 PADS,KOTEX SOFT & SMOOTH MAXI WING 10 PADS
1671,REJOICE RICH SOFT SMOOTH SHAMPOO,REJOICE RICH SOFT SMOOTH SHAMPOO
1673,HEAD AND SHOULDERS COOL MENTHOL SHAMPOO,HEAD AND SHOULDERS COOL MENTHOL SHAMPOO
1677,KLEENEX FACIAL TISSUE VINTAGE SOFTPACK 50S X 3,KLEENEX FACIAL TISSUE VINTAGE SOFTPACK 50S X 3
1678,FUMAKILLA D1 (LINGKARAN NYAMUK) - 1 X 10'S,FUMAKILLA D1 (LINGKARAN NYAMUK) - 1 X 10'S
1680,PANADOL ACTIFAST 10S,PANADOL ACTIFAST 10S
1682,STREPSILS ORIGINAL 6 LOZENGES,STREPSILS ORIGINAL 6 LOZENGES
1683,MISTER POTATO CRISPS (PELBAGAI PERISA) - BOTOL,MISTER POTATO CRISPS (Assorted Flavours) - Bottle
1684,PRINGLES POTATO CRISPS (PELBAGAI PERISA) - BOTOL,PRINGLES POTATO CRISPS (Assorted Flavours) - Bottle
1685,MISTER POTATO CHIPS (PELBAGAI PERISA) - PAKET,MISTER POTATO CHIPS (Assorted Flavours) - Packet
